sentence,smell confidence,overt or impiled,smell words,,
"As a result of this inspection in 1920 of 159 houses, 180, or 82 per cent, were found to have defects as to sanitary conditions or want of repair, and in 19, or 12 per cent., there were minor defects of a less serious character.",weak,Implied,"defects, sanitary conditions",,
"7. Any master or other person having charge of a ship arriving in the Port of London, and failing to perform any duty imposed on him by these Regulations, shall be liable to a penalty not exceeding Forty Shillings.",0,,,,
"I made a report to the Public Health Committee and, as a result, Dr. Salter, Dr. Connan, and myself visited Leysin in Switzerland, the Treloar Home at Alton, the Heritage Craft Schools, Chailey, and the Queen Mary's Hospital at Carshalton.",0,,,,
"Thirty-five of the cases were attended by the Ormond Home for 51 id wives, and 9 by Midwife Andrews.",0,,,,
Figs .lbs. i 50 cases & 17 bags tons cwts. qrs. lbs.,0,,,Not a sentence,
"Chairman—Councillor SALTER, J.P. Alderman Broughton Councillor Stokes.",0,,,,
"May 3 Clan Grant "" Calcutta Malarial Fever. "" 7 Nepaul "" "" Measles.",0,,,Not a sentence,
"The swelling of the knee has completely gone down, and there is now no pain at all.",0,,,,
"In addition 387 rooms were disinfected for the presence of bugs and other vermin, and were subsequently stripped and cleansed by the owners.",strong,Implied,"disinfected, vermin, cleansed",,
"A Common Council holden in the Chamber of the Guildhall of the City of London, on Thursday? the 5th day of February, 1891.",0,,,,
No. of Canal Boats without Certificates on board.,0,,,,
"27 - Ruapehu - 76,069 Albert Dock - New Zealand - 2 pieces mutton, 1 case kidneys. » 3 - Rimutaka - 89,652 Ditto Ditto 4 pieces mutton.",0,,,Not a sentence,
Early in October a further three patients—all adults — were sent to Dr. Rollier for treatment.,0,,,,
"Considerable difficulties have been overcome in adapting the van and, although the result is quite good and has attracted audiences of two to three hundred at a time, there are certain limits to what can be done with an improvised van and undoubtedly a far better result could be obtained with a van specially constructed for the purpose.",0,,,,
"As the arrangements for inspection have not in any wise been altered, this can only mean that a smaller number of canal boats have passed through the e 22 district.",0,,,,
"1154 14 0 0 Orange Pulp 4 6 cases & 9 tins 6 18 Orange skins 1 9 1 Peaches, canned 116 cases and 28 tins 14 3 Peach Pulp 37 cases & 5 tins 1 12 2 Pears 1,190 packages 31 14 3 Pickles Pines 5 barrels 12 3 137 cases & 20 tins Pines 3 2 Pineapple, canned 22 475 tins 7 Various pieces Pork 3 3 Potatoes 115 11 2,311 bags 43 p'kages, 57 bags, &c. 23 6 1 Poultry •J I I '<l£,S, LVL.. 16 12 Prunes 1 5 2 2 4 ft Quaker Oats Raisins 2 boxes 14 ! 1 tub 1 23 95 Raspberries ( Salmon 34 cases & 29 tins 16 2 16 Sheep's Feet 7 barrels 14 Strawberries 34 tubs & 156p'kages 3 2 14 12 Sugar 5 1bag, 2 50 bags 1 Tamarinds 24 casks 4 14 3 Tea 2080 chests 104 0 0 0 Tomatoes 16 cases & 5 12 3 14 127 bundles 207 cases & I 17 tins Tomatoes, canned 6 12 Tomato puree 2 cases & 425 bottles 16 10 Vegetables 2 8 6 bags 2 Wheat 323 11 2 6 1 1 7 London: HARISON & SONS, LTD., PRINTERS, ST. MARTIN'S LANE, W.C.2",0,,,Not a sentence,
Total No of Samples No. of Samples Genuine.,0,,,,
"During the year 1920, notices under this Section were served upon the owners of 24 houses to execute such works as may be necessary to make the houses in all respects reasonably fit for human habitation.",weak,Implied,fit for human habitation,,
"The only difficulty is that if this department undertakes the assessments, they would have to be done to a definite scale agreed upon between the County Council and ourselves, and if we could come to some arrangement on this point the work of assessment would be very easy.",0,,,,
No. of Sick referred to Hospital.,0,,,,
"This question of the After-Care of Tuberculosis cases, whether pulmonary or surgical, has been one of the great difficulties in dealing with this disease in England and elsewhere, and the suggestion made here, while not completely solving it, may go a long way towards doing so.",0,,,,
"They all seem to have been imbued with the one idea, and that was to make the Department as efficient as possible.",0,,,,
"The Dock Company were, therefore, called upon to abate the nuisance forthwith.",0,,,,
"A register of Outworkers has been compiled and the necessary forms and notices served upon the premises employing Outworkers, calling upon them to furnish the information as required hy the statute.",0,,,,
Birth and Death-Kates of Special Classes.,0,,,,
"CANVEY ISLAND. The only important sanitary work on the island has been the provision of water tanks in some of the outlying farms, by means of which they are enabled to draw their supply from the public pump, which continues to give good water in unlimited quantity. \ 20 During July two cases of erysipelas occurred at Sluice House, for which there appeared to be no obvious cause.",0,,,,
"H. W. Bush and A. Fair, of your staff, and Mr. Rogers, of the Accountancy Department and Miss W. Lambert and Messrs.",0,,,,
"10 were added and 11 removed during the year under report, making a total of 125 ; 125 inspections were made.",0,,,,
No. of Cases of Infectious Disease on board.,0,,,,
"The borough not being a registration authority under the Acts, I have no report as to the registration of boats.",0,,,,
"Number in borough 79 „ on level 45 „ underground 34 „ of inspections and visits 361 „ limewashed 39 Cleansing (floors, tables, utensils, &c.) 22 Ceilings repaired 1 Floors repaired 3 Yard surface repaired 1 Sink waste pipe repaired 1 Water Closet cleansed 1 „ water supply provided 2 „ in improper position amended 1 Opening to drain abolished 1 Dustbin abolished 1 Dustbins provided 3 Doors provided to coal places 3 Ventilation improved 2 DAIRIES, COWSHEDS, MILKSHOPS, &c., &c. Under the provisions of the London Government Act, 1899, the powers vested in the London County Council relating to Dairies, Cowsdeds and Milkshops, under the Dairies, Cowsheds and Milkshops Orders, and also the powers relating to the control, supervision and inspection of Offensive Trades, viz., Knackers' Yards, Bone, Blood, or Soap Boilers, Fat and Tallow Melters, Slaughter Houses, and any premises on which offen- sive businesses are carried on, were transferred to the Metropolitan Borough Councils.",weak,Implied,,Not a sentence,
In 1878 this Act was repealed by the Factory and Workshop Act.,0,,,,
There were 541 cases of diphtheria notified in 1924 as against 586 cases in 1923.,0,,,,
REPORT ON THE SANITARY CONDITION OF THE BOROUGH OF BERMONDSEY For the Year 1924.,0,,,,
"The Medical Officer of Health wrote a series of articles for the Southwark & Bermondsey Recorder on Tuberculosis, and also a special article on the production of Grade "" A "" (Tuberculin Tested) Milk, and the latter has been copied by many papers, both medical and lay.",0,,,,
"Hicks, Chief Caretakers of the Gravesend Hospital, have retired on account of age, and their places have been filled by the promotion of Mr. and Mrs.",0,,,,
Number of Nights it was Lowest Reading at Night.,0,,,,
"In this way the subject would be brought prominently to the notice of the public, by one or other of the means specified above giving information on that subject.",0,,,,
"Number in borough 5 „ of inspections 52 Limewashed 8 Bones accumulation removed 1 Contraventions of By-laws 1 Legal proceedings 1 ICE CREAMS. The London County Council (General Powers) Act, 1892, which came into force on November 1st, 1892, provides as follows: — Any person being a manufacturer of or merchant or dealer in ice creams or other similar commodity who within the county — (a) Causes or permits ice creams or any similar commodity to be manufactured sold or stored in any cellar shed or room in which there is any inlet or opening to a drain or which is used as a living room or sleeping room; (b) In the manufacture, sale, or storage of any such commodity does any act or thing likely to expose such commodity to infection or contamination, or omits to take any proper precaution for the due protection of such commodity from infection or contamination; or (c) Omits on the outbreak of any infectious disease amongst the persons employed in his business or living or working in, on or about the premises, in or on any part of which any such commodity as aforesaid is manufactured, sold, or stored, to give notice thereof forthwith to the Medical Officer of the Sanitary District in which such business is carried on or such premises are situate; shall be liable for every such offence on conviction in a Court of Summary Jurisdiction to a penalty not exceeding forty shillings.",weak,Implied,,Not a sentence,
"Chart shewing week by week the number of cases of Diphtheria, Enteric Fever and Small Pox notified by Medical Practitioners as having occurred in the Borough of Deptford during the 52 weeks ending the 27th December, 1902.",0,,,,
"Of this number 70 received convalescent treatment in the country or at the sea-side, the length of treatment varying from one to six months.",0,,,,
"Frequently the lament is heard from them, "" These places did not exist when I was a child."" The following table shows the maximum number of attendances made by mothers with infants at each of the Centres, and also the average attendance for the year:— Maximum Attendance.",0,,,,
"Home-Help.—On the 13th October, 1920, the Council appointed a Home-Help to attend maternity cases amongst necessitous women in the Borough, the functions of the Home-Help being to attend to the domestic duties of the household during the lying-in period, but not to act as a midwife or maternity nurse.",0,,,,
The precipitation and deodorization appeared not to have the slightest effect.,strong,Overt,"precipitation, deodorization",,
"SMALL-POX. Very few cases have come under notice, two only having actually been brought into this country, one to Portland, and one to London.",0,,,,
"A reply was received stating that the owners were unaware of the master's action, and that they had cautioned him, and ordered him in future to strictly obey all the Port Regulations.",0,,,,
"The case of measles appeared on 25th February, and was convalescent on 3rd March, when all effects were thoroughly fumigated.",strong,Implied,fumigated,,
"This petition has been duly referred, and is at the present moment under consideration.",0,,,,
"337 persons belonging to this Borough died in outlying institutions, against 288 in 1923, and 496 in 1922.",0,,,,
8. Measures must be taken to sterilise bottles immediately before filling.,0,,,,
"John Wheatley, M.P., Minister of Health.",0,,,,
Fairby Grange Convalescent Home was formally opened on July 26th by the Rt. Hon.,0,,,,
"There were 537 belonging to the North District, 537 to the South District, and 752 to the Central District.",0,,,,
"B.— UNDERGROUND BAKEHOUSES (1) An underground bakehouse shall not be used as a bakehouse unless it was so used at the passing of the Factory and Workshop Act, 1901 (i.e., August 17th, 1901.) (2) After January 1st, 1904, an underground bakehouse shall not be used, unless certified by the District Council to be suitable for that purpose; and an underground bakehouse shall not be certified as suitable unless the District Council is satisfied that it is suitable as regards construction, light, ventilation, and in all other respects.",0,,,Not a sentence,
"1 Bed, 2 Palliasses, 1 Bolster, 1 Mattress, 3 Sheets, 3 Blankets, 25 odds.",0,,,Not a sentence,
Reading of Thermometer on Grass.,0,,,,
"5.—Such detention by the Officer of Customs shall cease as soon as the ship shall have been duly visited and examined by the Medical Officer of Health ; or, if the ship shall, upon such examination, be found to be infected with Cholera, as soon as the same shall be moored or anchored in pursuance of Article 10 of this Order.",0,,,,
In Tables F and G (pages 30 and 32) will be found particulars of the general sanitary work by the District Inspectors during 1924.,0,,,,
"Other tuberculous diseases caused 11 deaths (2 males and 9 females), as against 22 in 1919.",0,,,,
Deaths in or belonging to whole Distric at subjoined ages.,0,,,,
Several of the ulcers are apparently healed and the others are rapidly healing.,0,,,,
"Four other vessels ""Thames,"" ""Ganges,'' ""Oroya,"" and ""Chusan"" also reported having had single cases of this disease on their homeward voyage.",0,,,,
3. The provision of an open-air shelter for erection in the patient's garden.,0,,,,
"A series of lectures by well-known persons on special subjects, e.g., Cancer, Sunlight and Open Air, will be organised and advertised.",0,,,,
"Staff: Medical Officer of Health—R. KING BROWN, B.A., M.D., D.P.H. Clinical Tuberculosis Officer and Deputy Medical Officer of Health—Dr. D. M. Connan, M B , D.P.H. Assistant Medical Officer for Maternity and Child Welfare — Dr. Mildred A Thynne, M.R.C.S., L R C P , D P.H. Municipal Dental Surgeon—Mr. Grantley Smith, H.D.D. Edin.",0,,,,
Rate.* Under 1 year of Age.,0,,,,
These regulations were amended and re-issued during July (see Appendix ). They require the Master to report infectious disease on arrival to the Medical Officer of Health ( Section 3) and to cause his vessel to remain off the Custom House until the Medical Officer of Health has boarded her (Section 4).,0,,,,
"Of this, from actual inspection, I have no doubt, and the cause is simply the disturbance of the shipping trade in the Port, owing to the unhappy relations between labour and capital.",0,,,,
"As the result of an interview on the 17th February, 1921, between the representatives of the Company and the Town Clerk and Medical Officer of Health, the latter were informed that the defects ascertained to exist were being proceeded with as fast as possible, and that practically the whole revenue of the Estate, with the exception of establishment charges, was, and for some time past, had been devoted to necessary repairs to the houses on the Estate.",0,,,,
"Your Medical Officer, therefore, met the vessel on her arrival in the Royal Albert Docks, and removed the patient to the Seamen's Hospital the same day.",0,,,,
"Nevertheless she had been detained for 18 days at Suez, and finally, to complete the farce, allowed to leave in strict quarantine.",0,,,,
"During the year 443 premises were disinfected after cases of infectious or other disease, including 141 rooms which had been in occupation by persons suffering from tuberculosis.",0,,,,
"9 On the 5th February, the s.s. "" Irrawaddy "" reported a case taken ill the day after leaving Rangoon, and landed at Colombo four days later with all effects, the cabins being at once fumigated.",weak,Implied,fumigated,,
"American 12 15 Argentine 2 — Austrian 4 — Belgian 3 — British 6,611 83.53 Danish 111 1.40 Dutch 60 .75 Finnish 15 .18 French 35 •44 German 333 4.20 Greek 3 - Italian 10 •12 Portuguese 2 — Russian 24 •30 Spanish 81 1.02 Swedish and Norwegian 608 7.68 Total 7,914 29 APPENDIX C. Effects Disinfected, from June 30th to December 31st, 1890.",weak,Implied,disinfected,Nota sentence,
"Other series have been prepared, and it is hoped that additional signs will be sanctioned by the Council as the sign is seen by large numbers of people, and many other subjects could be simply dealt with in this manner.",0,,,,
"OS at 37 APPENDIX I. REGULATIONS made by the Port Sanitary Authority for the Port of London [pursuant to the Public Health Act, 1875, Section 125], and approved by the Local Government Board, for the removal to Hospital of persons brought within the Port by any Ship or Boat who are infected with a dangerous Infectious Disorder.",0,,,,
"Steps were then taken, not only to advertise its good qualities in the Borough, but also to see that on and after a certain date this milk only would be supplied by the Council under its Maternity and Child Welfare Scheme.",0,,,,
One of the principal activities of the Propaganda Section has been the making of kinema films.,0,,,,
"The lodgers' promenade is provided over the reading room and part of the dining room, and is approached by means of the south-west staircase.",0,,,,
Supply of extra nourishment to Tuberculosis Persons.,0,,,,
"On account of the constant supervision and inspection, the bakehouses of the borough are very well kept by the occupiers.",0,,,,
During the year under report 62 male and 10 female adults used the Verminous Baths and had their clothing disinfected.,weak,Implied,disinfected,,
"12.—The Medical Officer of Health shall, as soon as possible after any such ship has been certified to be infected with Cholera, examine every person on board the same, and in the case of any person suffering from Cholera or from any illness which the Medical Officer of Health suspects may prove to be Cholera, shall certify accordingly; and any person who shall not be so certified by him shall be permitted to land immediately on giving to the Medical Officer of Health his name and place of destination, stating, where practicable, his address at such place.",0,,,,
"Current (including Stoves) figures to be supplied — Rates and Taxes £130 Telephone £12 Cleaning £70 As far as children are concerned it might be advisable to consider the question of giving them some fruit or other light refreshment, so as to supply them with necessary vitamines for them to receive full benefit from the treatment, which they are not likely to get in their own homes, but this would not be a very expensive item.",0,,,,
"Dr. Rollier, one of the pioneers of the Sun Cure, started work there in a very small way in 1904, and this has gradually increased, so that under his charge there are now 35 clinics, a large number of which are devoted entirely to patients of the poorer classes.",0,,,,
"It is scarcely possible to conceive that vessels moored in a foul sewagepolluted river like the Thames can be healthy and proper habitations for a large number of young boys, and it certainly reflects very favourably on the management of these institutions that, in spite of this great drawback, the health of their inmates should have been so well preserved.",strong,overt,"foul, sewagepolluted",,
"8 Worcester - Thames Nautical Training College - Greenhithe - Mumps - (?) Fort Sanitary Hospital „ 10 Ditto Di tto Ditto Ditto - Ditto - (?) - Ditto „ 19 Florence Sail 18,753 E. Bannister, Gravesend - Gravesend - Measles - Grimsby Ditto „ 27 Shaftesbury - Training Ship London School Board Grays - Typhoid Fever (?) Ships' Infirmary on shore „ 24 Canvey Island Brick House Cottage, No. 2 - — Measles - Southend Isolated at residence 00 APPENDIX H. Condemned Meat, &c., fbom June 30th to December 31st, 1890.",0,,,Not a sentence,
"4. The walls shall be constructed of a material which is hard, smooth, durable, and impermeable to damp. [Note. — Where adjacent ground abuts on a wall, or walls, such walls should be lined with the best glazed bricks, uniformly joined with Portland cement, to form internal walls, separated from the existing walls by a cavity, and bonded to them, the intervening space being ventilated to the outer air.] 5.",0,,,,
4 Under 1 Year of Age.,0,,,,
"September 22 Victoria Dock, No. 12 shed, ex s.s. "" Denmark,"" New York 678 tins meat.",0,,,,
"The standard here set forth is already being complied with by those members of the milk trade who are bottling either of these grades of milk in Bermondsey, and I consider that the same standard should be adopted for all supplementary licences : — "" Terms and conditions under which licences or supplementary licences will be granted to distributors of Grade "" A "" (Tuberculin Tested) Milk or Grade ""A"" milk : 1.",0,,,,
"The only reason for the absence of such accommodation being a desire to economise canal dues, I wrote the owners urging upon them the advisability of erecting so necessary a structure on deck.",0,,,,
"This makes a marriage rate of 16·62 per 1,000 of the population, B 2 compared with a marriage rate last year of 17·34 of the population, 121,700.",0,,,,
19 43 5 5 23 of these are Factory Bakehouses.,0,,,,
"The re-organisation of the Dispensary, which was decided on in 1923, was carried into effect in 1924 and resulted in a great improvement in the work.",0,,,,
Very much is due to the unceasing efforts of the Health Visitors to educate the mothers.,0,,,,
In 1919 the total sum expended was £342.,0,,,,
Two cases of malaria in ex-soldiers were notified in 1920.,0,,,,
"For instance, by far the commonest source of malignant germs is "" bad teeth,"" and this generally assumes two forms : "" dental caries "" or decay, and "" pyorrhœa."" Most people know when they have got the former, but very few, unless they visit a dentist, are aware that they are afflicted by the latter.",0,,,,
Other information will be found in the tables on pp.,0,,,,
"This was brought to a head by the following memorandum which was sent to the Maternity and Child Welfare Committee by Alderman Alfred Salter, M.D., J.P., with regard to the provision of pure milk to mothers and infants, and as a result, the following resolutions were adopted by the Council:— We have had under consideration the following memorandum from Alderman Salter, M.D., J.P., re the provision of pure milk for nursing mothers and infants under the Council's Scheme, viz.:— "" During the present year, about £5,000 is being spent by the Bermondsey Borough Council in supplying milk to mothers and babies under the provisions of the Maternity and Child Welfare Act.",0,,,Not a sentence,
"Special facilities at Hospitals, & c. The Tuberculosis Dispensary has been linked up with Guy's Hospital for the purpose of providing observation beds and special facilities for treatment and diagnosis.",0,,,,
The following schools (Infants' Department) were closed in consequence of the prevalence of Measles: — Dec.,0,,,,
"That the Administration of the Food and Drugs Acts be put in the hands of one Inspector, and from the knowledge gained under the new arrangement there is one District Sanitary Inspector I am prepared to recommend who, I believe, would carry out the work very efficiently.",0,,,,
Diff. from Average of 60 year s. Diff. from Average of 60 years.,0,,,,
Sums. ins. ins. ˚ ˚ Sums.,0,,,,
"April 30 Ionic 86,299 Royal Albert Dock New Zealand 165 carcases, 42 part carcases mutton, and 1 piece beef.",weak,Implied,carcases,Not a sentence,
"(9) Co-operating with general practitioners in the examination, supervision and treatment of insured persons.",0,,,,
(General.) Do all Port Sanitary Authorities ;— To all other Sanitary Authorities as herein defined;— To the Queen's Harbour Masters of Dockyard Ports;— To all Officers of Customs;— To all Medical Officers of Health of the Sanitary Authorities aforesaid;— To all Masters of Ships;— To all Pilots;— And to all others whom it may concern.,0,,,Not a sentence,
"In the absence of such system, however, the only safe plan seems to be to resort to a prohibitory order for a certain period, a plan which has been already adopted by the Local Government Board.",0,,,,
April 29th — Abinger Road.,0,,,,
"All ages 31.81 Unvaccinated 22 7 *This case was a child who died at the age of 15 days, whose mother was suffering from Small Pox at the time of its birth.",0,,,,
"And a Motion being made and Question put, That this Court doth agree with the Committee in their said Report, the same was Resolved in the Affirmative, and it is Ordered, That the Report be printed and a copy sent to every Member of this Court.",0,,,,
"The form of Tuberculosis which is benefited most bv the treatment is known as Surgical Tuberculosis, that is, affecting the bones, joints and glands of the body.",0,,,,
"Table No. 4 shows the mortality per cent, among the vaccinated and un-vaccinated at all ages.",0,,,,
"Two of the women patients sent in October have also improved very much, and the complete recovery of all these may be anticipated at no very distant date.",0,,,,
A second (a native) was taken ill a few days later.,0,,,,
"As far as surgical tuberculosis is concerned, a large part of this can be prevented by propaganda and this should be directed to make the public demand the best class of milk not only from the chemical point of view but from the point of view of the absence of bacillus, tuberculosis and other harmful organisms.",0,,,,
"Mr. E. F. Walsh, Third Clerk.",0,,,,
"On enquiry it was found that no foul outfalls existed as stated, that no cases of Diphtheria had occurred in any other vessels there, nor on shore in the neighbourhood, and further that the ""Elizabeth"" had been lying at the Tower Bridge Works in mid-stream, and not therefore within the influence of any outfall.",strong,implied,no foul,,
"On the 16th April, a saloon passenger was taken to the Port Sanitary Hospital from the s.s. "" Hawarden Castle "" suffering from enteric fever.",0,,,,
"III. Other Institutions, etc., the Deaths in which have been distributed among the several localities in the District.",0,,,,
"Practically all the canal boats coming into our district carry cargo to and from vessels, and any decrease of the shipping industry will naturally be reflected in the canal boat industry, another proof of the far reaching effects of these unfortunate differences, many of which we scarcely realize at present, but which undoubtedly have a wide and lasting influence for evil upon the commerce of the country.",0,,,,
"On the 28th, after leaving Plymouth, a child was taken ill.",0,,,,
"A complete scheme of dental benefit should consist of propaganda, extractions, scalings, fillings and dentures; the scope of the benefit to be granted depending on the demand rate and the funds available.",0,,,,
"Annual Rate per 1,000 Living.",0,,,,
"The Interim Tuberculosis Care Committee up to the present has only met about once a fortnight, and assessment is the only duty which they have done systematically, as this is a duty we could not undertake without special arrangements.",0,,,,
"Your Worshipful Committee adopted this suggestion, and the Regulations have, accordingly, been amended.",0,,,,
"One indoor lecture has already been given and others have been, and are being, arranged for the coming winter season.",0,,,,
"Provided also, that where, in pursuance of any of the above-cited Orders, places have been duly fixed for the mooring or anchoring of ships for the like purpose, such places shall be deemed to have been so fixed in pursuance of this Order.",0,,,,
"Caretaker - * Mr. F. W. Smith is a clerk in the Public Health Department. who devotes about six hours weekly to the Tuberculosis Dispensary. - - - The above staff is a part of the Public Health Department, and the duties comprise the following :— (1) Receiving notifications of Tuberculosis on Forms A, B, C. and D, and keeping a register of these.",0,,,,
"Dr. Connan, the Tuberculosis Officer, estimates the number of these persons as about 500 a year.",0,,,,
"The months of greatest prevalence were October, 21 case3, November, 21 cases, and December, 18 cases.",0,,,,
"With the exception of the Royal Arsenal Co-operative Society, which employs thoroughly up-to-date and approved plant and methods, there is no certainty that even this procedure has been followed in the case of dairymen who obtain their milk from other wholesalers.",0,,,,
"In 1920, 1,468 births were registered in the Borough.",0,,,,
"In connection with these diseases, 79 visits were made to homes, and 31 cases were as a result, discovered.",0,,,,
"By section 107, the occupier of every factory, workshop, or place, from which any work is given out as home work, is required to furnish a list of such workers to the District Council, giving names and addresses, on or before the first day of February and the first day of August in each year, and also to keep a copy of such list in the factory, workshop, or place, from which such work is given out.",0,,,,
D. — All other Respects.,0,,,,
5 and under 15 years.,0,,,,
"The working of the clinics in 1920 is set out below :— 49, Sydney-street :— Dr. Dearnley Tuesday afternoon.",0,,,,
All which we submit to the judgment of this Honourable Court.,0,,,,
The running expenses would be as follows : — Two Nurses £416 per annum.,0,,,,
It was also stated that the case had probably arisen from exposure to a foul outfall in the neighbourhood of the Tower.,strong,implied,foul,,
"3 Pillows, 1 Mattress, 1 Bolster, 2 Sheets, 7 Blankets, 18 odds.",0,,,Not a sentence,
"The total number of specimens examined in 1924 was 3,624 as compared with 3,532 in 1923, and 2,977 in 1922.",0,,,,
"On the 18th February, one of the boys on the training ship ""Cornwall"" was attacked with scarlet fever.",0,,,,
"The number of suitable films to be obtained on any of the subjects mentioned is very small; we have seen a considerable number of films for sale or hire dealing with some of these subjects, and in some cases the cost has been prohibitive and in others the films themselves have been made by people who obviously had no special medical knowledge and were in many respects quite unsatisfactory for our purpose.",0,,,,
"Pamphlets on two subjects have already been printed and distributed at open-air demonstrations, one dealing with Care of the Teeth and one with Flies.",0,,,,
Diff. from Average of 60 Year s. Diff. from Average of 60 Years.,0,,,,
"150F Vinegar Dismissed on payment of costs, 21/-. Deficient in acetic acid, 15.0 percent.",0,,,,
It is hoped to start these open-air demonstrations as soon as the weather permits in the early Spring.,0,,,,
"The following account of the plan is contained in the report of the Housing of the Working Classes Committee to the London County Council: — ""The entrance is central, and gives access to the dining-room on the right, and to the smoking and reading rooms on the left.",0,,,,
"145 91 98, Rotherhithe New Road (Morning and Afternoon) Town Hall, later 110, Grange Road 158 110 (Morning and Afternoon) Oxley Street 110 61 (Morning and Afternoon) Trinity Road (Afternoon) 57 32 Rosebery Street (Afternoon) 94 61 The maximum number attending the Toddler's Centre was 30, and the average 23.",0,,,Not a sentence,
"I regret, however, to have to report that the sixth patient, Mrs.",0,,,Not a sentence,
"(Table III.) CASES OF INFECTIOUS DISEASE NOTIFIED DURING THE YEAR ENDING DECEMBER 27TH, 1902.",0,,,,
"8 Montana - Philadelphia June 7,'90 Malignant Malaria.",0,,,Not a sentence,
This will account for there being always a large (though not an increasing) number of outstanding orders.,0,,,,
This is 270 below the total for the previous year.,0,,,,
8 Free milk is supplied when the total income of the family does not exceed 5s. per head per week.,0,,,,
"In addition to sending the patients to Leysin, the Borough Council has decided by resolution to carry out the following measures for the prevention of tuberculosis which, as they are inextricably bound up with the question of propaganda, may be mentioned here.",0,,,,
"2 Beds, 1 Mattress, 2 Palliasses, 3 Sheets, 2 Blankets, 18 odds.",0,,,Not a sentence,
"Ordered to pay costs, £2 18s. 6d. Milk Fined £5.",0,,,,
Councillor Barton „ Thorpe. „ Clark „ Virgo. „ George.,0,,,Not a sentence,
"While the dental profession favours the "" panel "" there are many advocates of what may be described as the "" clinic "" system.",0,,,,
"These Regulations were drawn up by the City Solicitor, but the penalty was added by the Local Government Board, which is clearly responsible.",0,,,,
"Who, with the exception of the Disinfector (who has previously had small-pox), were all re-vaccinated.",0,,,,
"The next question to consider is how far Heliotherapy, whether natural or artificial, can be applied to patients in Bermondsey.",0,,,,
"6d. costs; 7 per cent. of fat abstracted, vendor fined £1 and 10s. 6d. costs.",0,,,Not a sentence,
"The difficulty appears to arise from a water-course which formerly entered the head of the dock having been diverted, and your Medical Officer has suggested that if a reservoir were constructed so as to receive a charge at high water and discharge it at low tide, the rush of water would prevent the accumulation of mud.",0,,,,
"The largest number of cases occurred in Wandsworth (13), Stepney (11), and Battersea (9).",0,,,,
"83,978 Ditto Ditto Small-pox (?) Bombay Suez „ 18 Cornwall Refor matory S hip - Purfleet - Scarlet Fever (?) Isolation Hospital, on shore. „ 28 Orient - Str.",0,,,Not a sentence,
Proceedings for the recovery of the penalties imposed by the two last preceding Sections of this Act shall be instituted by the Sanitary Authority for the District in which the offence was committed or of the District to the Medical Officer of which such notification as aforesaid ought to have been made or in which such itinerant vendor as aforesaid shall offer any such commodity as aforesaid for sale as the case may be.,0,,,,
